imdbId,storyLine,cast
0114709,"A little boy named Andy loves to be in his room, playing with his toys, especially his doll named "Woody". But, what do the toys do when Andy is not with them, they come to life. Woody believes that his life (as a toy) is good. However, he must worry about Andy's family moving, and what Woody does not know is about Andy's birthday party. Woody does not realize that Andy's mother gave him an action figure known as Buzz Lightyear, who does not believe that he is a toy, and quickly becomes Andy's new favorite toy. Woody, who is now consumed with jealousy, tries to get rid of Buzz. Then, both Woody and Buzz are now lost. They must find a way to get back to Andy before he moves without them, but they will have to pass through a ruthless toy killer, Sid Phillips.",Tom Hanks|Tim Allen|Don Rickles|Jim Varney|Wallace Shawn|John Ratzenberger|Annie Potts|John Morris|Erik von Detten|Laurie Metcalf|R. Lee Ermey|Sarah Freeman|Penn Jillette|Jack Angel|Spencer Aste
0112302,"Tom Sawyer is a mischievous young boy, growing up in a small US town in the mid-1800s. He finds a friend in Huckleberry Finn, a vagrant and outcast, and the two get up to all sorts of boyish adventures. While on one of these adventures they witness a murder, leaving Tom with a dilemma.",Jonathan Taylor Thomas|Brad Renfro|Eric Schweig|Charles Rocket|Amy Wright|Michael McShane|Marian Seldes|Rachael Leigh Cook|Lanny Flaherty|Courtland Mead|Peter Mackenzie|Heath Lamberts|William Newman|Joey Stinson|Blake Heron
